Importance,total_gain,total_cover,gain,cover,Feature,sequence_ids,param_id,group,Feature_group
172.0,133185264.0,75296.515625,774332.9375,437.77044677734375,ImmunoglobulinE_Avg,627,627,all,Immunity
144.0,72927488.0,75018.15625,506440.875,520.9594116210938,ImmunoglobulinE_Max,627,627,all,Immunity
182.0,115960192.0,53257.93359375,637143.9375,292.6260070800781,ImmunoglobulinE_Min,627,627,all,Immunity
149.0,92154624.0,32802.12890625,618487.4375,220.1485137939453,Total25HydroxyVitaminD_Avg,627,627,all,Immunity
90.0,81459480.0,29789.240234375,905105.3125,330.9915466308594,Total25HydroxyVitaminD_Max,627,627,all,Immunity
66.0,34878284.0,21167.86328125,528458.875,320.7251892089844,Total25HydroxyVitaminD_Min,627,627,all,Immunity
21.0,12456946.0,4210.42626953125,593187.875,200.4964904785156,ImmunoglobulinG_Avg,627,627,all,Immunity
11.0,3766701.75,1443.459228515625,342427.4375,131.22357177734375,ImmunoglobulinG_Max,627,627,all,Immunity
19.0,5440281.0,2866.52294921875,286330.59375,150.86962890625,ImmunoglobulinG_Min,627,627,all,Immunity
15.0,3493464.0,1436.3680419921875,232897.59375,95.75786590576172,ImmunoglobulinA_Avg,627,627,all,Immunity
11.0,6475332.5,2605.86474609375,588666.5625,236.89678955078125,ImmunoglobulinA_Max,627,627,all,Immunity
10.0,3701487.5,1709.3582763671875,370148.75,170.93582153320312,ImmunoglobulinA_Min,627,627,all,Immunity
26.0,10799436.0,3206.958984375,415362.9375,123.34457397460938,ImmunoglobulinM_Avg,627,627,all,Immunity
15.0,9485977.0,2478.98876953125,632398.4375,165.2659149169922,ImmunoglobulinM_Max,627,627,all,Immunity
13.0,3046189.75,1704.739990234375,234322.28125,131.13385009765625,ImmunoglobulinM_Min,627,627,all,Immunity
16.0,11511451.0,5336.2978515625,719465.6875,333.51861572265625,ThyroglobulinAntibody_Avg,627,627,all,ThyroidFunction
9.0,3920178.0,540.3025512695312,435575.34375,60.03361511230469,ThyroglobulinAntibody_Max,627,627,all,ThyroidFunction
6.0,7201728.0,942.6158447265624,1200288.0,157.10264587402344,ThyroglobulinAntibody_Min,627,627,all,ThyroidFunction
127.0,112968984.0,102152.7890625,889519.5625,804.3526611328125,ThyroidStimulatingHormone_Avg,627,627,all,ThyroidFunction
72.0,57546608.0,72851.6796875,799258.4375,1011.828857421875,ThyroidStimulatingHormone_Max,627,627,all,ThyroidFunction
56.0,44394652.0,41473.39453125,792761.625,740.5963134765625,ThyroidStimulatingHormone_Min,627,627,all,ThyroidFunction
109.0,84788720.0,55321.2890625,777878.1875,507.5347595214844,TotalTriiodothyronine_Avg,627,627,all,ThyroidFunction
103.0,66036972.0,52914.9609375,641135.625,513.7374877929688,TotalTriiodothyronine_Max,627,627,all,ThyroidFunction
61.0,24575650.0,26990.46875,402879.5,442.4667053222656,TotalTriiodothyronine_Min,627,627,all,ThyroidFunction
118.0,105176560.0,113592.2890625,891326.75,962.6465454101562,TotalThyroxine_Avg,627,627,all,ThyroidFunction
124.0,99113872.0,110958.5078125,799305.4375,894.82666015625,TotalThyroxine_Max,627,627,all,ThyroidFunction
75.0,51796064.0,62366.26953125,690614.1875,831.5502319335938,TotalThyroxine_Min,627,627,all,ThyroidFunction
70.0,70606728.0,40692.16796875,1008667.5625,581.3167114257812,FreeTriiodothyronine_Avg,627,627,all,ThyroidFunction
50.0,44152444.0,32758.537109375,883048.875,655.1707153320312,FreeTriiodothyronine_Max,627,627,all,ThyroidFunction
40.0,37858336.0,27415.59765625,946458.375,685.3899536132812,FreeTriiodothyronine_Min,627,627,all,ThyroidFunction
124.0,99311488.0,32684.064453125,800899.125,263.5811767578125,FreeThyroxine_Avg,627,627,all,ThyroidFunction
90.0,54271636.0,32736.1875,603018.1875,363.73541259765625,FreeThyroxine_Max,627,627,all,ThyroidFunction
52.0,22486094.0,9840.4482421875,432424.875,189.2393951416016,FreeThyroxine_Min,627,627,all,ThyroidFunction
65.0,45225256.0,19619.265625,695773.1875,301.8348693847656,ReverseTriiodothyronine_Avg,627,627,all,ThyroidFunction
60.0,30172772.0,16610.4453125,502879.53125,276.8407592773437,ReverseTriiodothyronine_Max,627,627,all,ThyroidFunction
45.0,34693000.0,14355.8369140625,770955.5625,319.0185852050781,ReverseTriiodothyronine_Min,627,627,all,ThyroidFunction
24.0,44964708.0,45752.796875,1873529.5,1906.3665771484373,ANA1to40_Avg,627,627,all,Autoantibody
28.0,54191460.0,44259.265625,1935409.25,1580.6881103515625,ANA1to40_Max,627,627,all,Autoantibody
6.0,3410616.25,4340.09326171875,568436.0625,723.348876953125,ANA1to40_Min,627,627,all,Autoantibody
6.0,3727554.5,887.03369140625,621259.0625,147.8389434814453,ANA1to80_Avg,627,627,all,Autoantibody
1.0,8254.921875,46.14238357543945,8254.921875,46.14238357543945,ANA1to80_Max,627,627,all,Autoantibody
2.0,469995.8125,75.89009094238281,234997.90625,37.945045471191406,ANA1to80_Min,627,627,all,Autoantibody
10.0,13629419.0,1934.583740234375,1362941.875,193.4583740234375,ANANuclearPattern_Avg,627,627,all,Autoantibody
2.0,178685.1875,261.25323486328125,89342.59375,130.62661743164062,ANANuclearPattern_Max,627,627,all,Autoantibody
9.0,9667558.0,1627.786865234375,1074173.125,180.86520385742188,ANANuclearPattern_Min,627,627,all,Autoantibody
41.0,28020652.0,22023.666015625,683430.5625,537.16259765625,SMRNP_Avg,627,627,all,Autoantibody
53.0,35858468.0,36727.375,676574.875,692.9693603515625,SMRNP_Max,627,627,all,Autoantibody
50.0,37836480.0,24613.275390625,756729.625,492.2655029296875,SMRNP_Min,627,627,all,Autoantibody
69.0,61242772.0,32571.640625,887576.375,472.0527648925781,AntiScl70_Avg,627,627,all,Autoantibody
50.0,37154404.0,17116.74609375,743088.0625,342.3349304199219,AntiScl70_Max,627,627,all,Autoantibody
47.0,32963316.0,17021.8828125,701347.125,362.167724609375,AntiScl70_Min,627,627,all,Autoantibody
68.0,60354804.0,70078.0546875,887570.625,1030.5595703125,AntiSSA_Avg,627,627,all,Autoantibody
57.0,110513888.0,97111.9921875,1938840.125,1703.7191162109375,AntiSSA_Max,627,627,all,Autoantibody
43.0,37129192.0,33738.453125,863469.5625,784.6151733398438,AntiSSA_Min,627,627,all,Autoantibody
66.0,41232264.0,17103.27734375,624731.25,259.1405639648437,AntiSSB_Avg,627,627,all,Autoantibody
39.0,18046372.0,10583.166015625,462727.5,271.3632202148437,AntiSSB_Max,627,627,all,Autoantibody
