[2024-09-02 16:21:52] PRINT [38]	train-poisson-nloglik:1014.81246	train-roc_auc:0.82962	validation-poisson-nloglik:1017.96936	validation-roc_auc:0.78565
[2024-09-02 16:21:52] PRINT [39]	train-poisson-nloglik:913.82429	train-roc_auc:0.83068	validation-poisson-nloglik:916.85958	validation-roc_auc:0.79296
[2024-09-02 16:21:52] PRINT [40]	train-poisson-nloglik:822.58720	train-roc_auc:0.83059	validation-poisson-nloglik:825.52699	validation-roc_auc:0.79421
[2024-09-02 16:21:52] PRINT [41]	train-poisson-nloglik:740.17940	train-roc_auc:0.82956	validation-poisson-nloglik:743.02619	validation-roc_auc:0.79502
[2024-09-02 16:21:52] PRINT [42]	train-poisson-nloglik:665.76427	train-roc_auc:0.83543	validation-poisson-nloglik:668.50235	validation-roc_auc:0.80015
[2024-09-02 16:21:52] PRINT [43]	train-poisson-nloglik:598.58276	train-roc_auc:0.83368	validation-poisson-nloglik:601.29423	validation-roc_auc:0.79697
[2024-09-02 16:21:52] PRINT [44]	train-poisson-nloglik:537.95606	train-roc_auc:0.83502	validation-poisson-nloglik:540.56927	validation-roc_auc:0.79824
[2024-09-02 16:21:52] PRINT [45]	train-poisson-nloglik:483.25851	train-roc_auc:0.83607	validation-poisson-nloglik:485.78429	validation-roc_auc:0.80022
[2024-09-02 16:21:52] PRINT [46]	train-poisson-nloglik:433.92856	train-roc_auc:0.83592	validation-poisson-nloglik:436.37194	validation-roc_auc:0.79577
[2024-09-02 16:21:52] PRINT [47]	train-poisson-nloglik:389.45182	train-roc_auc:0.83291	validation-poisson-nloglik:391.86269	validation-roc_auc:0.79120
[2024-09-02 16:21:52] PRINT [48]	train-poisson-nloglik:349.37710	train-roc_auc:0.83066	validation-poisson-nloglik:351.70393	validation-roc_auc:0.78703
[2024-09-02 16:21:52] PRINT [49]	train-poisson-nloglik:313.28246	train-roc_auc:0.82984	validation-poisson-nloglik:315.53885	validation-roc_auc:0.78717
[2024-09-02 16:21:52] PRINT [50]	train-poisson-nloglik:280.78083	train-roc_auc:0.82653	validation-poisson-nloglik:283.00413	validation-roc_auc:0.78207
[2024-09-02 16:21:52] PRINT [51]	train-poisson-nloglik:251.54433	train-roc_auc:0.83145	validation-poisson-nloglik:253.69036	validation-roc_auc:0.78177
[2024-09-02 16:21:52] PRINT [52]	train-poisson-nloglik:225.24606	train-roc_auc:0.82851	validation-poisson-nloglik:227.35532	validation-roc_auc:0.77997
[2024-09-02 16:21:52] PRINT [53]	train-poisson-nloglik:201.62036	train-roc_auc:0.83128	validation-poisson-nloglik:203.64500	validation-roc_auc:0.78497
[2024-09-02 16:21:52] PRINT [54]	train-poisson-nloglik:180.40525	train-roc_auc:0.83419	validation-poisson-nloglik:182.34831	validation-roc_auc:0.79037
[2024-09-02 16:21:52] PRINT [55]	train-poisson-nloglik:161.35887	train-roc_auc:0.83123	validation-poisson-nloglik:163.27024	validation-roc_auc:0.78782
[2024-09-02 16:21:52] PRINT [56]	train-poisson-nloglik:144.29505	train-roc_auc:0.83062	validation-poisson-nloglik:146.14598	validation-roc_auc:0.79013
[2024-09-02 16:21:52] PRINT [57]	train-poisson-nloglik:129.00686	train-roc_auc:0.82813	validation-poisson-nloglik:130.78524	validation-roc_auc:0.78594
[2024-09-02 16:21:52] PRINT [58]	train-poisson-nloglik:115.31287	train-roc_auc:0.82553	validation-poisson-nloglik:117.05920	validation-roc_auc:0.78243
[2024-09-02 16:21:52] PRINT [59]	train-poisson-nloglik:103.08180	train-roc_auc:0.82738	validation-poisson-nloglik:104.75737	validation-roc_auc:0.77878
[2024-09-02 16:21:52] PRINT [60]	train-poisson-nloglik:92.16092	train-roc_auc:0.83202	validation-poisson-nloglik:93.77096	validation-roc_auc:0.77777
[2024-09-02 16:21:52] PRINT [61]	train-poisson-nloglik:82.41849	train-roc_auc:0.83022	validation-poisson-nloglik:83.96593	validation-roc_auc:0.77694
[2024-09-02 16:21:52] PRINT [62]	train-poisson-nloglik:73.72149	train-roc_auc:0.82992	validation-poisson-nloglik:75.24250	validation-roc_auc:0.77655
[2024-09-02 16:21:52] PRINT [63]	train-poisson-nloglik:65.98086	train-roc_auc:0.82760	validation-poisson-nloglik:67.47233	validation-roc_auc:0.77624
[2024-09-02 16:21:52] PRINT [64]	train-poisson-nloglik:59.10077	train-roc_auc:0.82495	validation-poisson-nloglik:60.56401	validation-roc_auc:0.77488
[2024-09-02 16:21:52] PRINT [65]	train-poisson-nloglik:53.01036	train-roc_auc:0.82623	validation-poisson-nloglik:54.40822	validation-roc_auc:0.77852
[2024-09-02 16:21:52] PRINT [66]	train-poisson-nloglik:47.61639	train-roc_auc:0.82916	validation-poisson-nloglik:48.95162	validation-roc_auc:0.78291
[2024-09-02 16:21:52] PRINT [67]	train-poisson-nloglik:42.84796	train-roc_auc:0.82696	validation-poisson-nloglik:44.12491	validation-roc_auc:0.78120
[2024-09-02 16:21:52] PRINT [68]	train-poisson-nloglik:38.61006	train-roc_auc:0.82693	validation-poisson-nloglik:39.86621	validation-roc_auc:0.77984
