[2024-09-02 16:21:19] PRINT [38]	train-poisson-nloglik:1.91629	train-prerec_auc:0.94983	validation-poisson-nloglik:2.06154	validation-prerec_auc:0.90548
[2024-09-02 16:21:19] PRINT [39]	train-poisson-nloglik:1.91374	train-prerec_auc:0.95051	validation-poisson-nloglik:2.06077	validation-prerec_auc:0.90775
[2024-09-02 16:21:19] PRINT [40]	train-poisson-nloglik:1.91158	train-prerec_auc:0.95093	validation-poisson-nloglik:2.05947	validation-prerec_auc:0.90727
[2024-09-02 16:21:19] PRINT [41]	train-poisson-nloglik:1.90972	train-prerec_auc:0.95117	validation-poisson-nloglik:2.05969	validation-prerec_auc:0.90749
[2024-09-02 16:21:19] PRINT [42]	train-poisson-nloglik:1.90717	train-prerec_auc:0.95148	validation-poisson-nloglik:2.05800	validation-prerec_auc:0.90708
[2024-09-02 16:21:19] PRINT [43]	train-poisson-nloglik:1.90469	train-prerec_auc:0.95160	validation-poisson-nloglik:2.05831	validation-prerec_auc:0.90651
[2024-09-02 16:21:19] PRINT [44]	train-poisson-nloglik:1.90194	train-prerec_auc:0.95212	validation-poisson-nloglik:2.05772	validation-prerec_auc:0.90808
[2024-09-02 16:21:19] PRINT [45]	train-poisson-nloglik:1.90039	train-prerec_auc:0.95241	validation-poisson-nloglik:2.06004	validation-prerec_auc:0.90845
[2024-09-02 16:21:19] PRINT [46]	train-poisson-nloglik:1.89896	train-prerec_auc:0.95251	validation-poisson-nloglik:2.06055	validation-prerec_auc:0.90838
[2024-09-02 16:21:19] PRINT [47]	train-poisson-nloglik:1.89639	train-prerec_auc:0.95301	validation-poisson-nloglik:2.06147	validation-prerec_auc:0.90851
[2024-09-02 16:21:19] PRINT [48]	train-poisson-nloglik:1.89522	train-prerec_auc:0.95319	validation-poisson-nloglik:2.06276	validation-prerec_auc:0.90823
[2024-09-02 16:21:19] PRINT [49]	train-poisson-nloglik:1.89290	train-prerec_auc:0.95381	validation-poisson-nloglik:2.06144	validation-prerec_auc:0.91083
[2024-09-02 16:21:19] PRINT [50]	train-poisson-nloglik:1.89035	train-prerec_auc:0.95427	validation-poisson-nloglik:2.06177	validation-prerec_auc:0.91014
[2024-09-02 16:21:19] PRINT [51]	train-poisson-nloglik:1.88862	train-prerec_auc:0.95451	validation-poisson-nloglik:2.06197	validation-prerec_auc:0.91034
[2024-09-02 16:21:19] PRINT [52]	train-poisson-nloglik:1.88710	train-prerec_auc:0.95502	validation-poisson-nloglik:2.06146	validation-prerec_auc:0.91041
[2024-09-02 16:21:19] PRINT [53]	train-poisson-nloglik:1.88521	train-prerec_auc:0.95527	validation-poisson-nloglik:2.06228	validation-prerec_auc:0.91058
[2024-09-02 16:21:19] PRINT [54]	train-poisson-nloglik:1.88247	train-prerec_auc:0.95569	validation-poisson-nloglik:2.06285	validation-prerec_auc:0.90917
[2024-09-02 16:21:19] PRINT [55]	train-poisson-nloglik:1.87970	train-prerec_auc:0.95598	validation-poisson-nloglik:2.06324	validation-prerec_auc:0.91020
[2024-09-02 16:21:19] PRINT [56]	train-poisson-nloglik:1.87837	train-prerec_auc:0.95640	validation-poisson-nloglik:2.06297	validation-prerec_auc:0.91219
[2024-09-02 16:21:19] PRINT [57]	train-poisson-nloglik:1.87663	train-prerec_auc:0.95667	validation-poisson-nloglik:2.06265	validation-prerec_auc:0.90991
[2024-09-02 16:21:19] PRINT [58]	train-poisson-nloglik:1.87547	train-prerec_auc:0.95674	validation-poisson-nloglik:2.06299	validation-prerec_auc:0.91013
[2024-09-02 16:21:19] PRINT [59]	train-poisson-nloglik:1.87268	train-prerec_auc:0.95710	validation-poisson-nloglik:2.06302	validation-prerec_auc:0.91116
[2024-09-02 16:21:19] PRINT [60]	train-poisson-nloglik:1.87176	train-prerec_auc:0.95739	validation-poisson-nloglik:2.06348	validation-prerec_auc:0.91171
[2024-09-02 16:21:19] PRINT [61]	train-poisson-nloglik:1.87081	train-prerec_auc:0.95750	validation-poisson-nloglik:2.06642	validation-prerec_auc:0.91159
[2024-09-02 16:21:19] PRINT [62]	train-poisson-nloglik:1.86885	train-prerec_auc:0.95767	validation-poisson-nloglik:2.06482	validation-prerec_auc:0.91179
[2024-09-02 16:21:20] PRINT [63]	train-poisson-nloglik:1.86780	train-prerec_auc:0.95791	validation-poisson-nloglik:2.06576	validation-prerec_auc:0.91159
[2024-09-02 16:21:20] PRINT [64]	train-poisson-nloglik:1.86610	train-prerec_auc:0.95837	validation-poisson-nloglik:2.06594	validation-prerec_auc:0.91126
[2024-09-02 16:21:20] PRINT [65]	train-poisson-nloglik:1.86411	train-prerec_auc:0.95866	validation-poisson-nloglik:2.06558	validation-prerec_auc:0.91150
[2024-09-02 16:21:20] PRINT [66]	train-poisson-nloglik:1.86338	train-prerec_auc:0.95892	validation-poisson-nloglik:2.06530	validation-prerec_auc:0.91185
[2024-09-02 16:21:20] PRINT [67]	train-poisson-nloglik:1.86190	train-prerec_auc:0.95916	validation-poisson-nloglik:2.06642	validation-prerec_auc:0.91033
[2024-09-02 16:21:20] PRINT [68]	train-poisson-nloglik:1.86010	train-prerec_auc:0.95946	validation-poisson-nloglik:2.07007	validation-prerec_auc:0.91033
[2024-09-02 16:21:20] PRINT [69]	train-poisson-nloglik:1.85941	train-prerec_auc:0.95956	validation-poisson-nloglik:2.06996	validation-prerec_auc:0.90906
[2024-09-02 16:21:20] PRINT [70]	train-poisson-nloglik:1.85805	train-prerec_auc:0.95981	validation-poisson-nloglik:2.06947	validation-prerec_auc:0.90941
[2024-09-02 16:21:20] PRINT [71]	train-poisson-nloglik:1.85709	train-prerec_auc:0.96020	validation-poisson-nloglik:2.06853	validation-prerec_auc:0.90943
[2024-09-02 16:21:20] PRINT [72]	train-poisson-nloglik:1.85527	train-prerec_auc:0.96057	validation-poisson-nloglik:2.06733	validation-prerec_auc:0.91247
[2024-09-02 16:21:20] PRINT [73]	train-poisson-nloglik:1.85436	train-prerec_auc:0.96097	validation-poisson-nloglik:2.06729	validation-prerec_auc:0.91101
[2024-09-02 16:21:20] PRINT [74]	train-poisson-nloglik:1.85346	train-prerec_auc:0.96108	validation-poisson-nloglik:2.06722	validation-prerec_auc:0.91103
[2024-09-02 16:21:20] PRINT [75]	train-poisson-nloglik:1.85254	train-prerec_auc:0.96093	validation-poisson-nloglik:2.06704	validation-prerec_auc:0.91210
[2024-09-02 16:21:20] PRINT [76]	train-poisson-nloglik:1.85071	train-prerec_auc:0.96113	validation-poisson-nloglik:2.06811	validation-prerec_auc:0.90929
[2024-09-02 16:21:20] PRINT [77]	train-poisson-nloglik:1.85011	train-prerec_auc:0.96120	validation-poisson-nloglik:2.06937	validation-prerec_auc:0.90894
[2024-09-02 16:21:20] PRINT [78]	train-poisson-nloglik:1.84921	train-prerec_auc:0.96236	validation-poisson-nloglik:2.06848	validation-prerec_auc:0.90869
[2024-09-02 16:21:20] PRINT [79]	train-poisson-nloglik:1.84830	train-prerec_auc:0.96257	validation-poisson-nloglik:2.06981	validation-prerec_auc:0.91078
[2024-09-02 16:21:20] PRINT [80]	train-poisson-nloglik:1.84738	train-prerec_auc:0.96258	validation-poisson-nloglik:2.07042	validation-prerec_auc:0.91067
[2024-09-02 16:21:20] PRINT [81]	train-poisson-nloglik:1.84607	train-prerec_auc:0.96279	validation-poisson-nloglik:2.07053	validation-prerec_auc:0.91059
[2024-09-02 16:21:20] PRINT [82]	train-poisson-nloglik:1.84465	train-prerec_auc:0.96300	validation-poisson-nloglik:2.07333	validation-prerec_auc:0.91018
[2024-09-02 16:21:20] PRINT [83]	train-poisson-nloglik:1.84394	train-prerec_auc:0.96313	validation-poisson-nloglik:2.07474	validation-prerec_auc:0.91040
[2024-09-02 16:21:20] PRINT [84]	train-poisson-nloglik:1.84323	train-prerec_auc:0.96326	validation-poisson-nloglik:2.07479	validation-prerec_auc:0.91058
[2024-09-02 16:21:20] PRINT [85]	train-poisson-nloglik:1.84245	train-prerec_auc:0.96360	validation-poisson-nloglik:2.07440	validation-prerec_auc:0.91301
[2024-09-02 16:21:20] PRINT [86]	train-poisson-nloglik:1.84061	train-prerec_auc:0.96396	validation-poisson-nloglik:2.07478	validation-prerec_auc:0.91288
[2024-09-02 16:21:20] PRINT [87]	train-poisson-nloglik:1.83933	train-prerec_auc:0.96401	validation-poisson-nloglik:2.07402	validation-prerec_auc:0.91288
[2024-09-02 16:21:20] PRINT [88]	train-poisson-nloglik:1.83765	train-prerec_auc:0.96417	validation-poisson-nloglik:2.07535	validation-prerec_auc:0.91296
[2024-09-02 16:21:20] PRINT [89]	train-poisson-nloglik:1.83668	train-prerec_auc:0.96417	validation-poisson-nloglik:2.07579	validation-prerec_auc:0.91276
[2024-09-02 16:21:20] PRINT [90]	train-poisson-nloglik:1.83590	train-prerec_auc:0.96424	validation-poisson-nloglik:2.07592	validation-prerec_auc:0.91212
[2024-09-02 16:21:20] PRINT [91]	train-poisson-nloglik:1.83493	train-prerec_auc:0.96452	validation-poisson-nloglik:2.07562	validation-prerec_auc:0.91180
[2024-09-02 16:21:20] PRINT [92]	train-poisson-nloglik:1.83401	train-prerec_auc:0.96457	validation-poisson-nloglik:2.07542	validation-prerec_auc:0.91171
[2024-09-02 16:21:20] PRINT [93]	train-poisson-nloglik:1.83334	train-prerec_auc:0.96463	validation-poisson-nloglik:2.07592	validation-prerec_auc:0.91113
[2024-09-02 16:21:20] PRINT [94]	train-poisson-nloglik:1.83156	train-prerec_auc:0.96484	validation-poisson-nloglik:2.07591	validation-prerec_auc:0.91138
[2024-09-02 16:21:20] PRINT [95]	train-poisson-nloglik:1.83031	train-prerec_auc:0.96481	validation-poisson-nloglik:2.07618	validation-prerec_auc:0.91098
[2024-09-02 16:21:20] PRINT [96]	train-poisson-nloglik:1.82916	train-prerec_auc:0.96503	validation-poisson-nloglik:2.07620	validation-prerec_auc:0.91037
[2024-09-02 16:21:20] PRINT [97]	train-poisson-nloglik:1.82830	train-prerec_auc:0.96520	validation-poisson-nloglik:2.07770	validation-prerec_auc:0.91040
[2024-09-02 16:21:20] PRINT [98]	train-poisson-nloglik:1.82770	train-prerec_auc:0.96521	validation-poisson-nloglik:2.07821	validation-prerec_auc:0.90976
[2024-09-02 16:21:20] PRINT [99]	train-poisson-nloglik:1.82632	train-prerec_auc:0.96553	validation-poisson-nloglik:2.07811	validation-prerec_auc:0.90953
[2024-09-02 16:21:20] PRINT [100]	train-poisson-nloglik:1.82585	train-prerec_auc:0.96567	validation-poisson-nloglik:2.07848	validation-prerec_auc:0.90964
[2024-09-02 16:21:20] PRINT [101]	train-poisson-nloglik:1.82446	train-prerec_auc:0.96570	validation-poisson-nloglik:2.07850	validation-prerec_auc:0.91000
[2024-09-02 16:21:20] PRINT [102]	train-poisson-nloglik:1.82374	train-prerec_auc:0.96576	validation-poisson-nloglik:2.07922	validation-prerec_auc:0.91000
[2024-09-02 16:21:20] PRINT [103]	train-poisson-nloglik:1.82272	train-prerec_auc:0.96603	validation-poisson-nloglik:2.07871	validation-prerec_auc:0.90959
[2024-09-02 16:21:20] PRINT [104]	train-poisson-nloglik:1.82050	train-prerec_auc:0.96640	validation-poisson-nloglik:2.07816	validation-prerec_auc:0.90955
[2024-09-02 16:21:20] PRINT [105]	train-poisson-nloglik:1.81986	train-prerec_auc:0.96639	validation-poisson-nloglik:2.07889	validation-prerec_auc:0.91001
[2024-09-02 16:21:20] PRINT [106]	train-poisson-nloglik:1.81893	train-prerec_auc:0.96656	validation-poisson-nloglik:2.07855	validation-prerec_auc:0.91205
[2024-09-02 16:21:20] PRINT [107]	train-poisson-nloglik:1.81852	train-prerec_auc:0.96661	validation-poisson-nloglik:2.07851	validation-prerec_auc:0.91246
[2024-09-02 16:21:20] PRINT [108]	train-poisson-nloglik:1.81786	train-prerec_auc:0.96672	validation-poisson-nloglik:2.08066	validation-prerec_auc:0.91172
