[2024-09-02 16:20:51] PRINT [43]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58596	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [44]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58596	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [45]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [46]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [47]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [48]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [49]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [50]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58597	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [51]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [52]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [53]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [54]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [55]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [56]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [57]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [58]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [59]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [60]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [61]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [62]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [63]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [64]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [65]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [66]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [67]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [68]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58598	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [69]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [70]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [71]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [72]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [73]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [74]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [75]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [76]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [77]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [78]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [79]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [80]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [81]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
[2024-09-02 16:20:51] PRINT [82]	train-rmse:0.07949	train-prerec_auc:0.99962	validation-rmse:0.58599	validation-prerec_auc:0.90650
